risk_rank,company,primary_product,complaint_count,untimely_rate_pct,dispute_rate_pct,states,peak_monthly_complaints,maximum_monthly_growth_pct,risk_score
172,BTH Management,Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
173,Bright Capital Inc,Credit card,3,0.0,0.0,2,3,0.0,34.75
174,CNG FINANCIAL CORPORATION,Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
175,"Carter-Young, Inc.",Credit reporting or other personal consumer reports,3,0.0,0.0,2,3,0.0,34.75
176,"Cascade CISS Holdings, LLC",Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
177,"Credit Control, LLC",Debt collection,3,0.0,0.0,3,3,0.0,34.75
178,Credit Service International Corp,Debt collection,3,0.0,0.0,3,3,0.0,34.75
179,Diverse Funding Associates LLC,Debt collection,3,0.0,0.0,3,3,0.0,34.75
180,"Diversified Adjustment Service, Inc.",Debt collection,3,0.0,0.0,2,3,0.0,34.75
181,DriveTime,Vehicle loan or lease,3,0.0,0.0,3,3,0.0,34.75
182,FIRST TECHNOLOGY FEDERAL CREDIT UNION,Checking or savings account,3,0.0,0.0,3,3,0.0,34.75
183,FinCo Services Inc DBA Current,Checking or savings account,3,0.0,0.0,3,3,0.0,34.75
184,"LoanCare, LLC",Mortgage,3,0.0,0.0,3,3,0.0,34.75
185,Millco Management,Debt collection,3,0.0,0.0,2,3,0.0,34.75
186,"ONLINE Information Services, Inc.",Debt collection,3,0.0,0.0,2,3,0.0,34.75
187,"Opportunity Financial, LLC",Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
188,"PENNYMAC LOAN SERVICES, LLC.",Mortgage,3,0.0,0.0,3,3,0.0,34.75
189,Possible Financial Inc,Credit reporting or other personal consumer reports,3,0.0,0.0,2,3,0.0,34.75
190,REGIONS FINANCIAL CORPORATION,Checking or savings account,3,0.0,0.0,3,3,0.0,34.75
191,"RentDebt Automated Collections, LLC",Debt collection,3,0.0,0.0,2,3,0.0,34.75
192,SECURITY FINANCE CORP,Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
193,SOUTHSTATE BANK CORPORATION,Credit reporting or other personal consumer reports,3,0.0,0.0,2,3,0.0,34.75
194,Sezzle Inc.,Debt collection,3,0.0,0.0,3,3,0.0,34.75
195,Stellantis Financial Services US Corp.,Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
196,Thaxton Investment Corporation,Credit reporting or other personal consumer reports,3,0.0,0.0,3,3,0.0,34.75
197,The Aligned Company DBA Extra,Credit reporting or other personal consumer reports,3,0.0,0.0,2,3,0.0,34.75
198,Unifin Inc.,Debt collection,3,0.0,0.0,3,3,0.0,34.75
199,VYSTAR CREDIT UNION,Debt collection,3,0.0,0.0,2,3,0.0,34.75
200,21ST MORTGAGE CORP.,Mortgage,2,0.0,0.0,1,2,0.0,26.92
201,AMERICAN HONDA FINANCE CORP,Vehicle loan or lease,2,0.0,0.0,2,2,0.0,26.92
202,Account Resolution Corporation,Credit reporting or other personal consumer reports,2,0.0,0.0,2,2,0.0,26.92
203,"AmeriHome Mortgage Company, LLC",Mortgage,2,0.0,0.0,2,2,0.0,26.92
