agency,payee_name,check_amount,issue_date,spending_category,expense_category,contract_id,duplicate_like,missing_contract,round_amount,category_outlier,anomaly_score,rule_count,evidence_score
Miscellaneous,THOMPSON LAW PC,1500000.0,2024-03-04,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.7599863110988554,2,87.31243333333335
Miscellaneous,FRIEDMAN JAMES & BUCHSBAUM LLP,1500000.0,2023-10-10,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.754063699972133,2,87.29983333333334
Miscellaneous,FRIEDMAN JAMES & BUCHSBAUM LLP,1500000.0,2024-04-25,Others,JUDGMENTS AND CLAIMS-GROSS PROCEEDS,,0,0,1,1,0.754063699972133,2,87.29983333333334
Fire Department,BROOKLYN NY I SGF LLC,1331161.0,2024-06-11,Contracts,RENTALS - LAND BLDGS & STRUCTS,CT105720221415289,1,0,0,1,0.7374994875217318,2,87.12713333333333
Fire Department,BROOKLYN NY I SGF LLC,1331161.0,2024-06-11,Contracts,RENTALS - LAND BLDGS & STRUCTS,CT105720221415289,1,0,0,1,0.7374994875217318,2,87.12713333333333
Fire Department,BROOKLYN NY I SGF LLC,1331161.0,2024-06-11,Contracts,RENTALS - LAND BLDGS & STRUCTS,CT105720221415289,1,0,0,1,0.7374994875217318,2,87.12713333333333
Department of Education,NYC SCHOOL SUPPORT SERVICES INC,1200000.0,2023-10-17,Contracts,MAINT & OPER OF INFRASTRUCTURE,CT104020219150300,0,0,1,1,0.7519386814891387,2,87.06773333333334
Housing Preservation and Development,BED STUY FANTASTIC FOUR LLC,1000000.0,2024-01-16,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232017374,1,0,1,0,0.7575690934347432,2,86.85403333333333
Housing Preservation and Development,BED STUY FANTASTIC FOUR LLC,1000000.0,2024-01-16,Capital Contracts,CONSTRUCTION-BUILDINGS,POC80620232017374,1,0,1,0,0.7575690934347432,2,86.85403333333333
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,1000000.0,2023-11-03,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7533060128208475,2,86.84503333333333
Department of Education,NYC SCHOOL CONSTRUCTION AUTHORITY,1000000.0,2023-11-03,Capital Contracts,CONSTRUCTION-BUILDINGS,PON1040SCA20-24MC,1,0,1,0,0.7533060128208475,2,86.84503333333333
Department of Transportation,MTA BRIDGES AND TUNNELS,1000000.0,2023-08-10,Contracts,NON OVERNIGHT TRVL EXP-GENERAL,PON184120240000121,0,0,1,1,0.7503314000967054,2,86.83873333333334
Miscellaneous,NYSDEC,550000.0,2023-08-21,Others,JUDGMENTS AND CLAIMS-NOT REPORTABLE,,0,0,1,1,0.7523624433702853,2,85.73313333333333
Miscellaneous,PACIFIC LIFE & ANNUITY,500000.0,2024-04-12,Others,JUDGMENTS AND CLAIMS-NOT REPORTABLE,,0,0,1,1,0.7455350566360929,2,85.44313333333334
Department of Education,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,300000.0,2024-06-28,Contracts,PROF SERV DIRECT EDUC SERV,CT104020249456880,0,0,1,1,0.7430002000310137,2,83.77093333333333
Mayoralty,SANCTUARY FOR FAMILIES INC,300000.0,2023-09-05,Contracts,PAYMENTS TO DELEGATE AGENCIES,CT100220238808442,1,0,1,0,0.7378622050433071,2,83.75563333333332
Mayoralty,SANCTUARY FOR FAMILIES INC,300000.0,2023-09-05,Contracts,PAYMENTS TO DELEGATE AGENCIES,CT100220238808442,1,0,1,0,0.7378622050433071,2,83.75563333333332
Department of Citywide Administrative Services,MTA BRIDGES AND TUNNELS,250000.0,2024-06-28,Contracts,NON OVERNIGHT TRVL EXP-GENERAL,PON185620242008296,0,0,1,1,0.7348483996765578,2,83.01873333333333
City University of New York,EAB GLOBAL INC,157312.0,2023-11-08,Contracts,OFF SVC-MEMBERSHIP DUES & FEES,PON1042C0000030105,1,0,0,1,0.7212717702865203,2,80.60023333333334
City University of New York,EAB GLOBAL INC,157312.0,2023-11-08,Contracts,OFF SVC-MEMBERSHIP DUES & FEES,PON1042C0000030105,1,0,0,1,0.7212717702865203,2,80.60023333333334
Department of Information Technology and Telecommunications,KYNDRYL INC,120000.0,2024-01-09,Contracts,PROF SERV COMPUTER SERVICES,CT185820228808430,1,0,1,0,0.7453957218520078,2,78.93243333333334
